#TYPE Microsoft.PowerShell.Commands.HistoryInfo
"Id","CommandLine","ExecutionStatus","StartExecutionTime","EndExecutionTime"
"1","cd D:\Git_Hub\","Completed","17-10-2018 06:05:50 PM","17-10-2018 06:05:50 PM"
"2","git clone https://github.com/pgullipilli/python_and-_javascript_lecture0.git","Completed","17-10-2018 06:06:03 PM","17-10-2018 06:06:04 PM"
"3","clear","Completed","17-10-2018 06:06:18 PM","17-10-2018 06:06:19 PM"
"4","ls","Completed","17-10-2018 06:06:23 PM","17-10-2018 06:06:23 PM"
"5","cd .\python_and-_javascript_lecture0\","Completed","17-10-2018 06:06:30 PM","17-10-2018 06:06:30 PM"
"6","ls","Completed","17-10-2018 06:06:31 PM","17-10-2018 06:06:31 PM"
"7","clear","Completed","17-10-2018 06:06:34 PM","17-10-2018 06:06:34 PM"
"8","code hello.html","Completed","17-10-2018 06:08:19 PM","17-10-2018 06:08:22 PM"
"9","ls","Completed","17-10-2018 06:11:24 PM","17-10-2018 06:11:24 PM"
"10","git add hello.html","Completed","17-10-2018 06:14:18 PM","17-10-2018 06:14:18 PM"
"11","git commit -m ""added hello.html""","Completed","17-10-2018 06:14:39 PM","17-10-2018 06:14:40 PM"
"12","git push","Completed","17-10-2018 06:16:47 PM","17-10-2018 06:17:28 PM"
"13","git pull","Completed","17-10-2018 06:21:20 PM","17-10-2018 06:21:22 PM"
"14","git commit -m ""adjusted indentation""","Completed","17-10-2018 06:23:49 PM","17-10-2018 06:23:49 PM"
"15","Get-History | Export-CSV git-commands-history.csv","Completed","17-10-2018 06:26:39 PM","17-10-2018 06:26:39 PM"
"16","ls","Completed","17-10-2018 06:26:42 PM","17-10-2018 06:26:42 PM"
"17","git add git-commands-history.csv","Completed","17-10-2018 06:27:28 PM","17-10-2018 06:27:28 PM"
"18","git commit -m ""added git-commands-history csv file""","Completed","17-10-2018 06:27:57 PM","17-10-2018 06:27:57 PM"
"19","git push","Completed","17-10-2018 06:28:04 PM","17-10-2018 06:28:13 PM"
"20","git add hello.html","Completed","17-10-2018 06:50:36 PM","17-10-2018 06:50:37 PM"
"21","git commit -m ""changes to test git merge conflicts""","Completed","17-10-2018 06:51:17 PM","17-10-2018 06:51:17 PM"
"22","git pull","Completed","17-10-2018 06:57:16 PM","17-10-2018 06:57:20 PM"
"23","git pull","Completed","17-10-2018 06:59:59 PM","17-10-2018 06:59:59 PM"
"24","git push","Completed","17-10-2018 07:00:14 PM","17-10-2018 07:00:22 PM"
"25","git pull","Completed","17-10-2018 07:00:42 PM","17-10-2018 07:00:42 PM"
"26","git add .\hello.html","Completed","17-10-2018 07:04:33 PM","17-10-2018 07:04:33 PM"
"27","git commit -m ""after merge conflict""","Completed","17-10-2018 07:04:58 PM","17-10-2018 07:04:58 PM"
"28","git pull","Completed","17-10-2018 07:05:17 PM","17-10-2018 07:05:19 PM"
"29","git push","Completed","17-10-2018 07:05:26 PM","17-10-2018 07:05:35 PM"
