#TYPE Microsoft.PowerShell.Commands.HistoryInfo
"Id","CommandLine","ExecutionStatus","StartExecutionTime","EndExecutionTime"
"1","cd D:\Git_Hub\","Completed","18-10-2018 03:12:15 PM","18-10-2018 03:12:15 PM"
"2","git clone https://github.com/pgullipilli/CS50_python_and_javascript.git","Completed","18-10-2018 03:12:39 PM","18-10-2018 03:12:42 PM"
"3","ls","Completed","18-10-2018 03:12:46 PM","18-10-2018 03:12:46 PM"
"4","cd .\CS50_python_and_javascript\","Completed","18-10-2018 03:12:51 PM","18-10-2018 03:12:51 PM"
"5","ls","Completed","18-10-2018 03:12:52 PM","18-10-2018 03:12:52 PM"
"6","mv .\git-commands-history.csv .\git-commands-history-after-merge-conflict.csv .\hello.html lecture0","Completed","18-10-2018 03:13:13 PM","18-10-2018 03:13:13 PM"
"7","mkdir lecture0","Completed","18-10-2018 03:13:22 PM","18-10-2018 03:13:22 PM"
"8","mv .\git-commands-history.csv .\git-commands-history-after-merge-conflict.csv .\hello.html lecture0","Completed","18-10-2018 03:13:26 PM","18-10-2018 03:13:26 PM"
"9","clear","Completed","18-10-2018 03:13:33 PM","18-10-2018 03:13:33 PM"
"10","move help","Completed","18-10-2018 03:14:01 PM","18-10-2018 03:14:01 PM"
"11","help move","Completed","18-10-2018 03:14:12 PM","18-10-2018 03:14:13 PM"
"12","mv .\hello.html .\lecture0\","Completed","18-10-2018 03:14:29 PM","18-10-2018 03:14:29 PM"
"13","mv .\git-commands-history.csv .\lecture0\","Completed","18-10-2018 03:14:35 PM","18-10-2018 03:14:35 PM"
"14","mv .\git-commands-history-after-merge-conflict.csv .\lecture0\","Completed","18-10-2018 03:14:42 PM","18-10-2018 03:14:42 PM"
"15","ls","Completed","18-10-2018 03:14:43 PM","18-10-2018 03:14:43 PM"
"16","clear","Completed","18-10-2018 03:14:45 PM","18-10-2018 03:14:45 PM"
"17","git push","Completed","18-10-2018 03:15:02 PM","18-10-2018 03:15:10 PM"
"18","ls","Completed","18-10-2018 03:15:12 PM","18-10-2018 03:15:12 PM"
"19","git merge","Completed","18-10-2018 03:15:20 PM","18-10-2018 03:15:20 PM"
"20","git add .\lecture0\","Completed","18-10-2018 03:15:35 PM","18-10-2018 03:15:35 PM"
"21","git commit -m ""added lecture0 folder""","Completed","18-10-2018 03:15:53 PM","18-10-2018 03:15:53 PM"
"22","git push","Completed","18-10-2018 03:16:01 PM","18-10-2018 03:16:11 PM"
"23","git pull","Completed","18-10-2018 03:16:35 PM","18-10-2018 03:16:37 PM"
"24","ls","Completed","18-10-2018 03:16:39 PM","18-10-2018 03:16:39 PM"
"25","cd .\lecture1\","Completed","18-10-2018 03:17:46 PM","18-10-2018 03:17:46 PM"
"26","clear","Completed","18-10-2018 03:17:47 PM","18-10-2018 03:17:47 PM"
"27","ls","Completed","18-10-2018 03:17:48 PM","18-10-2018 03:17:48 PM"
"28","code .\index.html","Completed","18-10-2018 03:17:56 PM","18-10-2018 03:17:57 PM"
"29","git add .\index.html","Completed","18-10-2018 03:19:44 PM","18-10-2018 03:19:44 PM"
"30","git commit -m ""added content to index.html""","Completed","18-10-2018 03:20:09 PM","18-10-2018 03:20:09 PM"
"31","git push","Completed","18-10-2018 03:20:15 PM","18-10-2018 03:20:24 PM"
"32","git pull","Completed","18-10-2018 03:20:36 PM","18-10-2018 03:20:38 PM"
"33","ls","Completed","18-10-2018 03:20:45 PM","18-10-2018 03:20:45 PM"
"34","git push","Completed","18-10-2018 03:20:49 PM","18-10-2018 03:20:58 PM"
"35","git branch","Completed","18-10-2018 03:21:24 PM","18-10-2018 03:21:25 PM"
"36","git branch feature","Completed","18-10-2018 03:21:46 PM","18-10-2018 03:21:46 PM"
"37","ls","Completed","18-10-2018 03:21:48 PM","18-10-2018 03:21:48 PM"
"38","git branch","Completed","18-10-2018 03:21:53 PM","18-10-2018 03:21:53 PM"
"39","git checkout feature","Completed","18-10-2018 03:22:07 PM","18-10-2018 03:22:07 PM"
"40","git branch","Completed","18-10-2018 03:22:11 PM","18-10-2018 03:22:11 PM"
"41","ls","Completed","18-10-2018 03:22:15 PM","18-10-2018 03:22:15 PM"
"42","git add .\index.html","Completed","18-10-2018 03:23:09 PM","18-10-2018 03:23:09 PM"
"43","git commit -m ""added a new line to index.html in feature branch""","Completed","18-10-2018 03:23:36 PM","18-10-2018 03:23:36 PM"
"44","git branch","Completed","18-10-2018 03:23:54 PM","18-10-2018 03:23:54 PM"
"45","git checkout master","Completed","18-10-2018 03:24:04 PM","18-10-2018 03:24:04 PM"
"46","git checkout feature","Completed","18-10-2018 03:24:27 PM","18-10-2018 03:24:28 PM"
"47","git push","Completed","18-10-2018 03:24:34 PM","18-10-2018 03:24:34 PM"
"48","git push --set-upstream origin feature","Completed","18-10-2018 03:25:10 PM","18-10-2018 03:25:21 PM"
"49","git branch","Completed","18-10-2018 03:25:31 PM","18-10-2018 03:25:31 PM"
"50","git checkout master","Completed","18-10-2018 03:25:40 PM","18-10-2018 03:25:41 PM"
"51","ls","Completed","18-10-2018 03:25:47 PM","18-10-2018 03:25:47 PM"
"52","git branch","Completed","18-10-2018 03:31:58 PM","18-10-2018 03:31:58 PM"
"53","git merge feature","Completed","18-10-2018 03:32:08 PM","18-10-2018 03:32:08 PM"
